calorie,category,img,salt,title,type,url
150 kcal,pasta,https://www.kyounoryouri.jp/upfile/new_xl_12975_06000.jpg,2.80 g,あさりのカップスープ,グラタン,https://www.kyounoryouri.jp/recipe/12975_あさりのカップスープ.html
490 kcal,pasta,https://www.kyounoryouri.jp/upfile/new_xl_13263_24786.jpg,empty,豆もやしとひき肉、ゆで卵のグラタン,グラタン,https://www.kyounoryouri.jp/recipe/13263_豆もやしとひき肉、ゆで卵のグラタン.html
660 kcal,pasta,https://www.kyounoryouri.jp/upfile/new_xl_11608_50508.jpg,empty,マカロニ,グラタン,https://www.kyounoryouri.jp/recipe/11608_マカロニ グラタン.html
empty,pasta,https://www.kyounoryouri.jp/upfile/new_xl_11607_34408.jpg,4.30 g,グラタンの素（もと）,グラタン,https://www.kyounoryouri.jp/recipe/11607_グラタンの素（もと）.html
320 kcal,pasta,https://www.kyounoryouri.jp/upfile/l_1292565199_8968.jpg,2.40 g,ハムと大根の牛乳グラタン,グラタン,https://www.kyounoryouri.jp/recipe/12045_ハムと大根の牛乳グラタン.html
780 kcal,pasta,https://www.kyounoryouri.jp/upfile/l_1260772019_2858.jpg,2.80 g,コンビーフのライスグラタン,グラタン,https://www.kyounoryouri.jp/recipe/10227_コンビーフのライスグラタン.html
530 kcal,pasta,https://www.kyounoryouri.jp/upfile/l_1275294255_7013.jpg,1.00 g,いわしのポテトグラタン,グラタン,https://www.kyounoryouri.jp/recipe/11166_いわしのポテトグラタン.html
250 kcal,pasta,https://www.kyounoryouri.jp/upfile/l_1260519452_4115.jpg,empty,じゃがいものグラタン,グラタン,https://www.kyounoryouri.jp/recipe/10198_じゃがいものグラタン.html
320 kcal,pasta,https://www.kyounoryouri.jp/upfile/l_1278646408_438.jpg,empty,ピーマンのツナグラタン,グラタン,https://www.kyounoryouri.jp/recipe/11338_ピーマンのツナグラタン.html
190 kcal,pasta,https://www.kyounoryouri.jp/upfile/new_xl_16774_16782.jpg,empty,帆立てと長芋のグラタン,グラタン,https://www.kyounoryouri.jp/recipe/16774_帆立てと長芋のグラタン.html
660 kcal,pasta,https://www.kyounoryouri.jp/upfile/l_1290755610_8194.jpg,empty,白菜と鶏肉のスピードグラタン,グラタン,https://www.kyounoryouri.jp/recipe/11992_白菜と鶏肉のスピードグラタン.html
260 kcal,pasta,https://www.kyounoryouri.jp/upfile/l_1430984443_4818.jpg,empty,春野菜のミルクグラタン,グラタン,https://www.kyounoryouri.jp/recipe/16978_春野菜のミルクグラタン.html
360 kcal,pasta,https://www.kyounoryouri.jp/upfile/l_1245637425_5219.jpg,empty,鶏肉としいたけのグラタン,グラタン,https://www.kyounoryouri.jp/recipe/8703_鶏肉としいたけのグラタン エスカルゴバター風味.html
261 kcal,pasta,https://www.kyounoryouri.jp/upfile/l_1290405788_775.jpg,0.20 g,さつまいものマシュマログラタン,グラタン,https://www.kyounoryouri.jp/recipe/11955_さつまいものマシュマログラタン.html
250 kcal,pasta,https://www.kyounoryouri.jp/upfile/l_1252643286_5203.jpg,empty,ソーセージのグラタン,グラタン,https://www.kyounoryouri.jp/recipe/9139_ソーセージのグラタン.html
250 kcal,pasta,https://www.kyounoryouri.jp/upfile/l_1263363218_6125.jpg,empty,酒かすホワイトソース,グラタン,https://www.kyounoryouri.jp/recipe/10308_酒かすホワイトソース.html
460 kcal,pasta,https://www.kyounoryouri.jp/upfile/new_xl_16425_06323.jpg,empty,しめじと蒸し帆立てのグラタン,グラタン,https://www.kyounoryouri.jp/recipe/16425_しめじと蒸し帆立てのグラタン.html
310 kcal,pasta,https://www.kyounoryouri.jp/upfile/new_xl_16865_27735.jpg,empty,ハムとコーンのパスタグラタン,グラタン,https://www.kyounoryouri.jp/recipe/16865_ハムとコーンのパスタグラタン.html
470 kcal,pasta,https://www.kyounoryouri.jp/upfile/l_1265953442_2138.jpg,empty,キャベツとゆで卵のグラタン,グラタン,https://www.kyounoryouri.jp/recipe/10414_キャベツとゆで卵のグラタン.html
310 kcal,pasta,https://www.kyounoryouri.jp/upfile/l_1231815021_906.jpg,2.90 g,ねぎとベーコンのとろろグラタン,グラタン,https://www.kyounoryouri.jp/recipe/7933_ねぎとベーコンのとろろグラタン.html
480 kcal,pasta,https://www.kyounoryouri.jp/upfile/l_1255937282_717.jpg,2.00 g,ブロッコリーと豚ひき肉のグラタン,グラタン,https://www.kyounoryouri.jp/recipe/9329_ブロッコリーと豚ひき肉のグラタン.html
