calorie,category,img,salt,title,type,url
320kcal,rice,/homecook/search/recipe/img/00006418.jpg,0.4g,ツナマヨおにぎり,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00006418/index.html
314kcal,rice,/homecook/search/recipe/img/00004065.jpg,0.4g,おかかと炒り卵のおにぎり,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00004065/index.html
283kcal,rice,/homecook/search/recipe/img/00003161.jpg,2.1g,たわら形おにぎり２種（おかか、しらすコーン）,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00003161/index.html
255kcal,rice,/homecook/search/recipe/img/00003160.jpg,1.2g,三角おにぎり（基本の塩にぎり）,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00003160/index.html
378kcal,rice,/homecook/search/recipe/img/00006112.jpg,1.0g,焼肉おにぎりサンド,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00006112/index.html
117kcal,rice,/homecook/search/recipe/img/00006587.jpg,0.4g,明太チーズおにぎり,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00006587/index.html
337kcal,rice,/homecook/search/recipe/img/00004518.jpg,1.5g,わかめとじゃこのおにぎり,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00004518/index.html
342kcal,rice,/homecook/search/recipe/img/00004082.jpg,2.4g,焼きおにぎり,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00004082/index.html
389kcal,rice,/homecook/search/recipe/img/00004396.jpg,1.5g,鶏そぼろの手まりおにぎり（うちのごはんアレンジ）,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00004396/index.html
483kcal,rice,/homecook/search/recipe/img/00004335.jpg,1.1g,ハムチーズケチャップのオイルおにぎり,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00004335/index.html
352kcal,rice,/homecook/search/recipe/img/00004930.jpg,1.8g,ドライカレーおにぎり弁当（洋ごはんつくろ使用）,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00004930/index.html
404kcal,rice,/homecook/search/recipe/img/00005115_20181019101729071.jpg,1.2g,肉巻きおにぎり,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00005115/index.html
559kcal,rice,/homecook/search/recipe/img/00001610.jpg,2.4g,肉巻きおにぎり,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00001610/index.html
323kcal,rice,/homecook/search/recipe/img/00005894_20180412095937063.jpg,1.7g,ごましそ五目おにぎり（うちのごはんアレンジ）,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00005894/index.html
346kcal,rice,/homecook/search/recipe/img/00005295.jpg,1.8g,ちまき風おにぎり（うちのごはんアレンジ）,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00005295/index.html
370kcal,rice,/homecook/search/recipe/img/00005188.jpg,1.6g,焼きおにぎり（おさしみ生しょうゆ使用）,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00005188/index.html
526kcal,rice,/homecook/search/recipe/img/00002727.jpg,1.5g,じゃことおかかのおにぎり,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00002727/index.html
350kcal,rice,/homecook/search/recipe/img/00001627.jpg,1.7g,れんこん入り焼きおにぎり,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00001627/index.html
387kcal,rice,/homecook/search/recipe/img/00003923.jpg,0.8g,枝豆じゃこのオイルおにぎり,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00003923/index.html
381kcal,rice,/homecook/search/recipe/img/00003248.jpg,1.8g,焼きおにぎり,おにぎり,http://www.kikkoman.co.jp/homecook/search/recipe/00003248/index.html
